postcode,latitude,longitude,admin_district,admin_county,country
BN1 6HR,50.83971,-0.143071,Brighton and Hove,,England
BR8 7PJ,51.406937,0.195373,Sevenoaks,Kent,England
BR8 8HU,51.392753,0.169365,Sevenoaks,Kent,England
CT21 4PE,51.077376,0.988911,Folkestone and Hythe,Kent,England
CT3 1XG,51.261478,1.155769,Canterbury,Kent,England
CT3 4FA,51.27928,1.12049,Canterbury,Kent,England
DA1 2DT,51.444826,0.213928,Dartford,Kent,England
DA1 2PB,51.442868,0.204753,Dartford,Kent,England
DA1 3AD,51.448275,0.207028,Dartford,Kent,England
DA1 3AE,51.448678,0.206184,Dartford,Kent,England
DA1 5JY,51.455992,0.233081,Dartford,Kent,England
DA11 0EP,51.440881,0.357237,Gravesham,Kent,England
DA11 0ES,51.43851,0.358856,Gravesham,Kent,England
DA11 7NT,51.416146,0.364033,Gravesham,Kent,England
DA11 7NX,51.415622,0.36776,Gravesham,Kent,England
DA11 7RE,51.421458,0.369083,Gravesham,Kent,England
DA11 8NE,51.423834,0.341256,Gravesham,Kent,England
DA11 9NT,51.439442,0.353638,Gravesham,Kent,England
DA12 2BD,51.444398,0.373695,Gravesham,Kent,England
DA12 3AY,51.386062,0.381439,Gravesham,Kent,England
DA12 3DA,51.391989,0.397732,Gravesham,Kent,England
DA12 3EN,51.411129,0.431709,Gravesham,Kent,England
DA12 4HS,51.425695,0.393872,Gravesham,Kent,England
DA12 5BJ,51.423682,0.371183,Gravesham,Kent,England
DA13 0EB,51.37924,0.363021,Gravesham,Kent,England
DA13 9BW,51.384376,0.376752,Gravesham,Kent,England
DA13 9NQ,51.413054,0.316673,Dartford,Kent,England
DA13 9PT,51.415574,0.335167,Gravesham,Kent,England
DA16 1JD,51.463392,0.123276,Bexley,,England
DA2 7HD,51.413531,0.167703,Dartford,Kent,England
DA3 7BQ,51.387555,0.296727,Sevenoaks,Kent,England
DA3 7JP,51.398339,0.32132,Dartford,Kent,England
DA3 7LX,51.393975,0.321416,Dartford,Kent,England
DA3 8DB,51.382876,0.306941,Sevenoaks,Kent,England
DA3 8LY,51.382668,0.292358,Sevenoaks,Kent,England
DA3 8LZ,51.382668,0.292358,Sevenoaks,Kent,England
DA3 8QJ,51.361756,0.311209,Sevenoaks,Kent,England
DA4 0AA,51.369484,0.213754,Sevenoaks,Kent,England
DA4 9BA,51.400864,0.242026,Sevenoaks,Kent,England
DA4 9DZ,51.406062,0.239677,Dartford,Kent,England
DA5 2EA,51.430298,0.166986,Dartford,Kent,England
DA5 3NP,51.442659,0.137898,Bexley,,England
DA8 3EA,51.478742,0.172897,Bexley,,England
DA9 9EW,51.448057,0.288204,Dartford,Kent,England
E1W 2BQ,51.508986,-0.064817,Tower Hamlets,,England
HA7 4QL,51.619165,-0.293893,Harrow,,England
LE15 8HE,52.638004,-0.633725,Rutland,,England
ME16 0WD,51.269243,0.485371,Maidstone,Kent,England
ME19 4SU,51.273855,0.403604,Tonbridge and Malling,Kent,England
ME19 4YU,51.273047,0.396106,Tonbridge and Malling,Kent,England
ME19 5BQ,51.305446,0.369385,Tonbridge and Malling,Kent,England
ME19 5EN,51.323228,0.364862,Tonbridge and Malling,Kent,England
ME3 8BH,51.413841,0.504424,Medway,,England
ME4 3NU,51.405477,0.537429,Medway,,England
ME9 0SP,51.282379,0.734815,Maidstone,Kent,England
ME9 8EF,51.314028,0.725217,Swale,Kent,England
NW6 6DA,51.535954,-0.215567,Brent,,England
NW7 3HT,51.625116,-0.25524,Barnet,,England
PO5 3HY,50.788096,-1.087496,Portsmouth,,England
RG4 8DQ,51.462878,-0.961718,Reading,,England
SS16 4UT,51.56087,0.489988,Basildon,Essex,England
TD6 0RU,55.585546,-2.667433,Scottish Borders,,Scotland
TN11 0DD,51.224211,0.33877,Tonbridge and Malling,Kent,England
TN11 8HN,51.195442,0.201535,Sevenoaks,Kent,England
TN12 5LX,51.21657,0.37742,Tonbridge and Malling,Kent,England
TN12 7NP,51.152818,0.400612,Tunbridge Wells,Kent,England
TN12 7PB,51.150719,0.388448,Tunbridge Wells,Kent,England
TN12 7PD,51.149935,0.388565,Tunbridge Wells,Kent,England
TN12 8ES,51.128113,0.442667,Tunbridge Wells,Kent,England
TN13 1FH,51.274453,0.188421,Sevenoaks,Kent,England
TN13 1NU,51.267698,0.185577,Sevenoaks,Kent,England
TN13 2LL,51.271473,0.178918,Sevenoaks,Kent,England
TN13 3AB,51.274445,0.190743,Sevenoaks,Kent,England
TN13 3BH,51.278379,0.184751,Sevenoaks,Kent,England
TN13 3DJ,51.286131,0.175094,Sevenoaks,Kent,England
TN14 6HS,51.247436,0.172522,Sevenoaks,Kent,England
TN14 7NT,51.306286,0.096691,Sevenoaks,Kent,England
TN14 7QG,51.317298,0.080833,Bromley,,England
TN14 7SD,51.33337,0.181995,Sevenoaks,Kent,England
TN15 0ER,51.290982,0.248687,Sevenoaks,Kent,England
TN15 0ES,51.2866,0.253952,Sevenoaks,Kent,England
TN15 0HX,51.279419,0.215529,Sevenoaks,Kent,England
TN15 0RP,51.264042,0.21122,Sevenoaks,Kent,England
TN15 0SJ,51.247314,0.243332,Sevenoaks,Kent,England
TN15 0SL,51.252627,0.237801,Sevenoaks,Kent,England
TN15 6TE,51.310533,0.216138,Sevenoaks,Kent,England
TN15 6XY,51.336881,0.251148,Sevenoaks,Kent,England
TN15 7LU,51.329583,0.327319,Tonbridge and Malling,Kent,England
TN15 7PB,51.331812,0.294111,Tonbridge and Malling,Kent,England
TN15 7PH,51.337208,0.30647,Tonbridge and Malling,Kent,England
TN15 7PT,51.321612,0.315648,Tonbridge and Malling,Kent,England
TN15 9HB,51.285689,0.284698,Tonbridge and Malling,Kent,England
TN16 1NE,51.26239,0.098175,Sevenoaks,Kent,England
TN17 4EH,51.064017,0.588704,Tunbridge Wells,Kent,England
TN17 4JS,51.058338,0.654995,Ashford,Kent,England
TN2 4BB,51.149744,0.348688,Tunbridge Wells,Kent,England
TN2 4PB,51.142384,0.324523,Tunbridge Wells,Kent,England
TN2 5EH,51.123545,0.266255,Tunbridge Wells,Kent,England
TN22 3BA,51.004121,0.089492,Wealden,East Sussex,England
TN24 8HX,51.156249,0.870458,Ashford,Kent,England
TN25 4AU,51.218954,0.877967,Ashford,Kent,England
TN25 5LL,51.137682,0.998523,Ashford,Kent,England
TN25 6SX,51.113345,0.954236,Ashford,Kent,England
TN26 2ES,51.075634,0.806999,Ashford,Kent,England
TN26 2PE,51.068764,0.884143,Ashford,Kent,England
TN26 3QW,51.085714,0.772093,Ashford,Kent,England
TN27 0DS,51.206019,0.806157,Ashford,Kent,England
TN27 8DF,51.095382,0.640034,Ashford,Kent,England
TN3 8DS,51.105307,0.390334,Tunbridge Wells,Kent,England
TN3 9NJ,51.106289,0.192982,Wealden,East Sussex,England
TN4 0TH,51.169349,0.24946,Tunbridge Wells,Kent,England
TN4 8FL,51.137163,0.26056,Tunbridge Wells,Kent,England
TW12 2TH,51.417389,-0.363,Richmond upon Thames,,England
TW9 2AS,51.47075,-0.293043,Richmond upon Thames,,England
