postcode,latitude,longitude,admin_district,admin_county,country,name
DA1 1DE,51.444237,0.219426,Dartford,Kent,England,Dartford High Street
DA1 2HS,51.443721,0.216292,Dartford,Kent,England,Dartford Priory
DA1 4ES,51.451038,0.179051,Bexley,,England,Crayford
DA10 0AB,51.448567,0.309475,Dartford,Kent,England,Swanscombe
DA11 8QT,51.43421,0.353988,Gravesham,Kent,England,Northfleet
DA12 2DU,51.442136,0.370383,Gravesham,Kent,England,Gravesend Kings Street
DA12 2PA,51.440721,0.385117,Gravesham,Kent,England,Warehouse
DA15 9NA,51.450009,0.105902,Bexley,,England,Blackfen
DA16 3AA,51.462923,0.108397,Bexley,,England,Welling
DA2 8DA,51.434952,0.258673,Dartford,Kent,England,Darent Valley Hospital
DA3 8JB,51.366065,0.30476,Sevenoaks,Kent,England,New Ash Green
DA5 1AD,51.441553,0.1472,Bexley,,England,Bexly
DA8 3EX,51.473327,0.16279,Bexley,,England,Northumberland Heath
ME2 4TP,51.395952,0.495641,Medway,,England,Strood
BR8 7TH,51.406889,0.158703,Sevenoaks,Kent,England,Swanley
DA7 4QU,51.465421,0.132887,Bexley,,England,Pickford Lane
